id,main_character,alts,points_earned,points_spent,points_adjusted,points_current
3547,Aacam,[],463,212,0,251
4397,Aaeuvien,"[(4681, 'Braesong'), (4873, 'Dabnay')]",152,113,11,50
4010,Aafdular,[],0,0,0,0
2677,Aagent,[],27,0,-27,0
4651,Aardvarkicus,[],24,0,0,24
93,Aartz,[],0,14,14,0
590,Aarwyn,[],0,0,0,0
5012,Abracatdabra,[],0,0,1,1
94,Absolve,"[(2313, 'Adingo'), (2312, 'Babar'), (558, 'Eronius'), (2231, 'Gnomerdamus'), (2251, 'Oroton')]",8940,10150,3041,1831
595,Acemetacin,[],0,0,0,0
95,Adem,"[(2575, 'Awoe')]",181,82,27,126
704,Adjacent,[],0,0,0,0
96,Adoria,[],750,674,73,149
4649,Adruid,[],6,0,0,6
3373,Aedna,[],0,0,0,0
3965,Aeglos,[],61,0,0,61
774,Aego,[],3,0,0,3
4540,Aegror,[],15,0,0,15
610,Aejir,[],0,0,0,0
4732,Aengar,"[(2978, 'Colburn'), (2967, 'Rikkaz')]",51,0,3,54
4590,Aerithyiel,[],0,0,0,0
3958,Aervine,"[(4000, 'Aerine'), (2401, 'Fendwer')]",225,33,3,195
3097,Aeryan,[],6,0,0,6
4695,Aeuamar,[],0,0,9,9
97,Aftig,"[(730, 'Caris'), (2299, 'Halftig'), (2652, 'Xoloth'), (729, 'Zaftig'), (2896, 'Zahn'), (559, 'Zalir'), (731, 'Zaljin')]",3860,3230,205,835
2802,Aillawen,"[(3059, 'Aedineniel'), (2804, 'Gaiffo'), (4168, 'Rabiata'), (2803, 'Sumppen')]",584,128,7,463
2772,Airmental,[],0,0,0,0
3401,Airythia,"[(3940, 'Elowehn'), (4004, 'Esmeray')]",1974,952,416,1438
98,Aitiera,"[(560, 'Wenanei')]",6,36,108,78
3110,AiYume,[],24,3,3,24
2765,Ajay,"[(4948, 'Metheus'), (3642, 'Patek'), (3051, 'Talvas')]",5598,4848,161,911
4606,Ajja,[],0,0,0,0
4034,Akayus,[],15,0,0,15
3600,Akkuji,[],3,0,9,12
4789,Aksala,[],24,0,0,24
4280,Alamina,"[(4308, 'Alammchealer'), (4349, 'Bowshield'), (4544, 'Gorlaa'), (4327, 'Nancynuke'), (4824, 'Pspspsps'), (4954, 'Quadmina'), (4682, 'Records'), (4691, 'Warmina')]",7371,8448,1283,206
99,Aledrin,[],0,3,21,18
100,Alewolf,[],0,54,54,0
3313,Almarr,[],0,0,0,0
562,Alphash,[],0,0,0,0
101,Alphatango,[],0,0,18,18
102,Alphaxzm,[],0,17,22,5
103,Altariel,[],0,27,93,66
4710,Althorx,[],3,0,0,3
4951,Altimer,[],1,0,0,1
3699,Altura,[],0,0,0,0
3737,Alufar,"[(3738, 'Crimsonfury'), (4007, 'Retnahcne'), (4008, 'Tinytots'), (3735, 'Zubmuk')]",1183,1074,-109,0
104,Alundra,"[(513, 'Abramm'), (2304, 'Cordii'), (564, 'Levii')]",44,160,174,58
4812,Alurian,[],0,0,9,9
3781,Alustriana,[],0,0,9,9
